index_label,评论内容,time,userId,用户名,likedCount,name,is_hot,序号,ai_prob,human_prob,conclusion
0,请让幸福降临在卡厄斯兰那身上,2025-07-10 00:01:32.118,8575322619,Augenstern岷,36461,耀斑,True,1,0.0822119265794754,0.9177880883216858,人类撰写
1,路过的开拓者我诅咒你们十连三金不歪[怒]（不接就不礼貌了）,2025-07-10 23:13:20.123,9053036086,-芷飖-,30310,耀斑,True,2,0.08249276876449585,0.9175072312355042,人类撰写
2,这歌是真的难唱主唱自己唱一遍把自己燃成火种了。真的燃尽了,2025-07-10 06:38:48.383,1837728066,盈盈天,22416,耀斑,True,3,0.012939254753291607,0.9870607852935791,人类撰写
3,听着好爽有一种被老板压榨30年后在老板办公室大砸特砸的爽感,2025-07-10 12:15:59.042,1760535270,艾虾虾虾虾虾,15691,耀斑,True,4,0.014847604557871819,0.9851523637771606,人类撰写
4,"当西西弗斯一次又一次推上巨石时，我们必须假定，他是幸福的
但当西西弗斯用巨石砸向众神时，我们不用假定，他一定是幸福的",2025-07-10 00:00:27.295,606864898,Honokasumi,13784,耀斑,True,5,0.044585734605789185,0.9554142951965332,人类撰写
5,"《玩二游不抽男的》
《我还以为是女的》
《手机沾水怎么自己抽了》
《就当给昔涟垫卡池了》
《怎么出金了》
《忘了已经是大保底了》
《算了抽都抽了》
《有什么话和我的救世主说吧》
《我是终将升起的烈阳》",2025-07-11 08:09:46.671,2062100051,KingandRose,13512,耀斑,True,6,0.03896939009428024,0.9610305428504944,人类撰写
6,小白应该很会做诗吧？因为白厄被囚禁在翁法罗斯无尽的轮回中，何尝不是一种白拘役。,2025-07-10 17:35:20.493,4957780878,砂祺玛o-o,12673,耀斑,True,7,0.01922079361975193,0.9807791709899902,人类撰写
7,其实都是演的，俺是哀秘丽榭村民，刚刚俺杀青还在导演那里领了1600星穹嘞，待会正好找昔涟小姐算算命。诶呀俺们村那白厄是真厉害的演员嘞，之前就和一些女娃娃演过什么崩坏什么律者的戏，诶哟哟可讨人喜欢嘞，这不又接到新的戏又是男主又是叫上我们全村一起演，诶哟发达嘞发达嘞,2025-07-10 00:58:24.566,3288747584,莱莱莱依拉,8917,耀斑,True,8,0.01024190615862608,0.9897581338882446,人类撰写
8,我有个小建议，能不能在地图里放一个来古士的假身，打一下就能掉头，然后用欧洛尼斯的权能还能复原,2025-07-10 15:02:56.222,8295012913,云村村民167401035890969,8894,耀斑,True,9,0.02340332791209221,0.9765966534614563,人类撰写
9,此时一个粉红色的软件失去了音乐播放器的功能[大笑][强],2025-07-10 00:22:06.674,2086112359,铁锅炖沐言,7892,耀斑,True,10,0.08731358498334885,0.9126863479614258,人类撰写
10,"纳↓努克😡😡😡我为你带来烩面了🤤🤤🤤🤤
纳↓努克😡😡😡我为你带来烩面了🤤🤤🤤🤤
纳↓努克😡😡😡我为你带来烩面了🤤🤤🤤🤤
纳↓努克😡😡😡我为你带来烩面了🤤🤤🤤🤤
纳↓努克😡😡😡我为你带来烩面了🤤🤤🤤🤤
纳↓努克😡😡😡我为你带来烩面了🤤🤤🤤🤤",2025-07-10 14:17:50.903,6327937079,阿治1012,7386,耀斑,True,11,0.210072860121727,0.7899271845817566,人类撰写
11,"前两天和朋友试着唱了一下，轻敌了，发现完全投入的话唱三分之二就能完全毁灭嗓子，两人中道崩殂，到现在都是哑的😰嗓子和小白的命运一起燃尽了属于是
主唱老师太不容易了，这真的太强了……",2025-07-10 15:22:37.070,6439034533,莱克伦缇,5689,耀斑,True,12,0.01831366866827011,0.9816863536834717,人类撰写
12,【福利】由HOYO-MiX×YMIR联手打造的 《崩坏：星穹铁道》全新动画短片单曲《耀斑》超燃上线！宿命、牺牲、信念交织成白厄的燃魂挽歌，此身为烈焰，燃尽命运的枷锁！即日起，在网易云【《耀斑》歌曲评论区】留言，即有机会赢取【官方周边】1份！快来参与吧！,2025-07-10 10:13:39.608,2082221,云音乐福利,5479,耀斑,True,13,0.9971592426300049,0.0028407841455191374,AI生成
13,唱完嗓子就燃尽了,2025-07-10 17:25:16.949,1763872701,moonlight沐光,4173,耀斑,True,14,0.05812370777130127,0.941876232624054,人类撰写
14,白厄戴手套，公公说是dom，嬷嬷说是女王，而白厄不疾不徐从手套里掏出了侵晨、阿格莱雅的手链、那刻夏的大地兽、万敌的天谴之矛、赛飞儿的硬币、风堇的小马、遐蝶的手工、缇宝的火箭筒……说要带着大家的遗物再创世,2025-07-10 07:39:17.138,1477754615,菇卡激推人,3563,耀斑,True,15,0.021397903561592102,0.9786020517349243,人类撰写
15,有了,2026-03-26 19:15:42.989,5017226551,他说南风轻去,0,耀斑,False,16,0.04161864519119263,0.9583814144134521,人类撰写
16,爱上雷神,2026-03-26 18:08:30.784,636747856,虎子味的虎子,1,耀斑,False,17,0.047130830585956573,0.9528692364692688,人类撰写
17,爱上雷神[愤怒],2026-03-26 16:30:58.126,8621189024,叁叁億,0,耀斑,False,18,0.10359624773263931,0.8964037299156189,人类撰写
18,欧洛尼斯说是，真的做了[多多笑哭],2026-03-26 16:13:43.099,4873171504,我_就是崩坏,0,耀斑,False,19,0.0228608176112175,0.9771391749382019,人类撰写
19,是个很好的醒神循环（？突然感觉有点地狱），听到结尾有点困了前奏又给我摇清醒了。上班就靠这个续命了(¦3[▓▓],2026-03-26 16:02:58.010,1608374139,蛋花不是蛋黄,0,耀斑,False,20,0.011399698443710804,0.9886003136634827,人类撰写
20,接！,2026-03-26 15:26:45.769,17080511893,欢愉的星神啊哈,0,耀斑,False,21,0.056950557976961136,0.9430494904518127,人类撰写
21,@张杰 挑战一下吗？,2026-03-26 14:25:49.837,3986802025,陌祤棠,0,耀斑,False,22,0.05318424478173256,0.9468157887458801,人类撰写
22,来考古了 4.1版本星铁FES展上真有了[做鬼脸],2026-03-26 13:56:19.889,28881576,Y云澜,1,耀斑,False,23,0.014142763800919056,0.9858572483062744,人类撰写
23,真的做了哈哈哈在新地图,2026-03-26 13:42:28.445,1971506972,凌小小喵,0,耀斑,False,24,0.10270283371210098,0.897297203540802,人类撰写
24,接[爆笑],2026-03-26 12:22:43.134,116409668,未本末,0,耀斑,False,25,0.16538211703300476,0.8346178531646729,人类撰写
25,已13抽3金,2026-03-26 11:57:24.370,13329374936,嘎嘣脆_6LBJ,0,耀斑,False,26,0.10471673309803009,0.8952832221984863,人类撰写
26,救命什么时候评论区变空耳区的（,2026-03-26 10:44:05.486,433317317,无良肉酱,2,耀斑,False,27,0.023768983781337738,0.976231038570404,人类撰写
27,接,2026-03-26 10:28:53.048,8180017447,云村村民168996163025159,0,耀斑,False,28,0.07767803221940994,0.9223219752311707,人类撰写
28,又寸,2026-03-26 10:13:26.956,13357105240,星瑶与于诺,0,耀斑,False,29,0.04877786710858345,0.9512221217155457,人类撰写
29,请让幸福降临在卡厄斯兰那身上,2026-03-26 08:51:35.986,8524926780,几曾何时离开,0,耀斑,False,30,0.0822119265794754,0.9177880883216858,人类撰写
